"site_id","s1","s2","s3","num_obs_s1","num_obs_s2","num_obs_s3","date_s1","date_s2","date_s3","time_s1","time_s2","time_s3","temp_s1","temp_s2","temp_s3","wind_s1","wind_s2","wind_s3","sky_s1","sky_s2","sky_s3"
"102",0,0,0,-0.81,0,1.03,-0.45,-0.54,0,0.74,0.28,0.8,-0.54,0.29,1.14,-0.76,-0.58,-0.71,2,0,3
"103",0,0,0,-0.81,0,1.03,-0.33,-0.54,0,-1.35,-1.6,-1.51,-0.67,0.06,0.73,1.27,-0.58,-0.71,3,3,3
"104",0,NA,NA,-0.81,NA,NA,-0.33,NA,NA,-0.56,NA,NA,-0.12,NA,NA,0.25,NA,NA,3,NA,NA
"105",0,0,0,-0.81,0,1.03,-0.33,-0.54,0,-0.47,1.48,-0.5,-0.26,2.41,0.63,-0.76,-0.58,0.87,3,0,3
"203",0,0,0,-0.81,0,-0.21,-1.44,-1.21,-1.51,0.57,0.19,0.35,-0.12,-1.12,-1.01,0.25,-0.58,-0.71,0,0,0
"82",0,0,0,-0.81,0,-0.21,-1.56,-1.21,-1.51,0.7,-1.21,-0.71,-1.5,-1.95,-1.42,0.25,-0.58,-0.71,2,2,0
"83",0,0,0,-0.81,1.76,-0.21,-1.56,-1.32,-1.64,-1.18,1.34,-0.59,0.57,-0.53,-1.22,0.25,2.7,-0.71,2,0,1
"84",0,0,0,-0.81,1.76,-0.21,-1.56,-1.32,-1.64,-0.49,-0.55,0.47,-0.81,-1.12,-1.01,3.3,-0.58,-0.71,2,0,0
"97",0,0,0,-0.81,0,-1.46,-0.45,-0.76,-0.14,-1.5,-0.61,0.9,-1.78,0.06,0.63,-0.76,-0.58,2.46,0,3,0
"AME",0,0,0,1.19,-1.76,-1.46,-0.7,-0.31,-0.55,1.21,0.15,0.21,0.02,0.17,0.42,-0.76,0.51,-0.71,1,2,0
"BSA",0,0,0,1.19,0,1.03,0.29,-0.09,0.27,0.36,1.23,1.16,-0.26,1.94,0.63,-0.76,-0.58,-0.71,0,0,1
"BSB",0,0,0,1.19,1.76,1.03,0.54,0.36,0.27,-1.54,0.44,0.17,-0.12,0.29,-0.4,-0.76,1.6,-0.71,0,2,0
"CLA",0,0,0,-0.81,0,-1.46,2.02,1.47,1.64,1.37,-0.36,1.15,1.26,-0.65,1.55,0.25,-0.58,0.87,0,9,9
"CUL",1,1,1,1.19,0,-1.46,1.9,1.36,1.64,-0.17,-0.26,-0.13,-0.81,-0.06,-0.29,-0.76,1.6,0.87,3,0,3
"ELI",0,0,0,-0.81,0,1.03,0.04,0.47,1.23,0.68,0.54,0.56,2.09,-1.59,0.63,-0.76,-0.58,0.87,1,0,0
"ELK",0,0,0,1.19,0,-0.21,0.04,-0.31,-0.28,-0.75,-0.81,1.41,-0.54,-0.3,2.37,-0.76,-0.58,-0.71,0,0,0
"ELL",0,0,0,1.19,0,-0.21,0.04,-0.31,-0.41,0.4,1.11,-0.64,0.85,1.82,-0.29,-0.76,0.51,-0.71,0,0,0
"GMW",NA,0,NA,NA,-1.76,NA,NA,1.92,NA,NA,0.31,NA,NA,1.35,NA,NA,-0.58,NA,NA,0,NA
"ISA",0,0,0,-0.81,-1.76,1.03,-0.7,-0.43,0.13,-0.3,1.16,1.43,0.02,0.17,0.12,-0.76,-0.58,0.87,0,1,3
"JDD",0,0,0,-0.81,0,1.03,-0.45,-0.76,0.41,0.75,-1.53,-1.1,-0.4,-0.77,-1.11,0.25,0.51,-0.71,0,3,0
"JDO",0,0,NA,-0.81,-1.76,NA,1.15,1.81,NA,-0.8,-0.9,NA,-0.81,0.29,NA,0.25,0.51,NA,2,0,NA
"JON",0,0,0,1.19,0,-0.21,0.04,-0.31,-0.55,-1.62,-1.75,-1.46,-0.54,-0.3,-0.19,-0.76,-0.58,-0.71,0,0,0
"JUD",0,0,0,-0.81,0,1.03,-0.45,-0.76,0.41,-0.56,0.41,0.29,-1.23,0.41,-0.09,-0.76,-0.58,-0.71,0,3,0
"LMA",0,0,0,1.19,1.76,1.03,0.54,0.36,0.27,-0.53,-1.65,-1.53,0.02,-0.53,-1.32,-0.76,-0.58,-0.71,0,3,0
"MAN",0,0,0,1.19,1.76,1.03,0.29,0.36,0.27,1.45,-0.72,-0.73,1.95,-0.53,-1.32,0.25,-0.58,-0.71,0,3,0
"MCR",0,0,0,1.19,0,-0.21,0.04,-0.31,-0.55,1.26,0.35,-1.57,1.54,0.64,-0.5,0.25,-0.58,-0.71,0,0,0
"PRD",0,0,0,-0.81,0,-1.46,-0.82,-0.99,-0.41,-0.43,0.79,-0.31,-0.26,0.29,0.12,1.27,-0.58,-0.71,1,1,1
"ROB",1,0,1,1.19,0,-1.46,1.9,1.36,1.64,1.59,0.89,1.25,0.98,-0.06,0.83,1.27,2.7,0.87,3,1,9
"SIP",0,0,0,1.19,0,-0.21,0.29,-0.09,-0.28,-0.92,0.07,0.57,-0.95,0.53,1.14,-0.76,-0.58,0.87,0,0,0
"SNO",0,0,0,-0.81,0,-1.46,2.02,1.47,1.64,-0.1,1.04,0.07,0.02,0.53,0.32,0.25,1.6,2.46,0,9,9
"WBB",1,0,0,1.19,0,-0.21,-0.82,-1.1,-1.51,1.69,-1.56,-1.51,-0.54,-1.95,-1.73,0.25,-0.58,0.87,0,0,0
"XSS",0,0,0,-0.81,0,1.03,0.04,0.47,1.23,-0.64,1.37,1.51,2.09,-0.06,0.63,-0.76,-0.58,0.87,1,0,0
"YWM",0,0,NA,-0.81,-1.76,NA,0.78,1.81,NA,1.14,0.34,NA,0.85,0.29,NA,2.29,0.51,NA,0,0,NA
