"site_id","1","2","3","num_obs_s1","num_obs_s3","num_obs_s2","date_s1","date_s3","date_s2","starttime_s1","starttime_s3","starttime_s2","sky_s1","sky_s3","sky_s2","wind_s1","wind_s3","wind_s2","temp_s1","temp_s3","temp_s2"
"102",0,0,0,1,3,2,"6/23/2023","7/3/2023","6/26/2023","8:54","8:55","8:03",2,3,0,0,0,0,57,70,62
"103",0,0,0,1,3,2,"6/24/2023","7/3/2023","6/26/2023","5:31","5:06","5:10",3,3,3,2,0,0,56,66,60
"104",0,NA,NA,1,NA,NA,"6/24/2023",NA,NA,"6:48",NA,NA,3,NA,NA,1,NA,NA,60,NA,NA
"105",0,0,0,1,3,2,"6/24/2023","7/3/2023","6/26/2023","6:57","6:46","9:53",3,3,0,0,1,0,59,65,80
"203",0,0,0,1,2,2,"6/15/2023","6/22/2023","6/20/2023","8:38","8:11","7:55",0,0,0,1,0,0,60,49,50
"82",0,0,0,1,2,2,"6/14/2023","6/22/2023","6/20/2023","8:50","6:26","5:46",2,0,2,1,0,0,50,45,43
"83",0,0,0,1,2,3,"6/14/2023","6/21/2023","6/19/2023","5:47","6:37","9:40",2,1,0,1,0,3,65,47,55
"84",0,0,0,1,2,3,"6/14/2023","6/21/2023","6/19/2023","6:55","8:23","6:47",2,0,0,4,0,0,55,49,50
"97",0,0,0,1,1,2,"6/23/2023","7/2/2023","6/24/2023","5:16","9:05","6:41",0,0,3,0,2,0,48,65,60
"AME",0,0,0,2,1,1,"6/21/2023","6/29/2023","6/28/2023","9:40","7:57","7:51",1,0,2,0,0,1,61,63,61
"BSA",0,0,0,2,3,2,"6/29/2023","7/5/2023","6/30/2023","8:17","9:31","9:30",0,1,0,0,0,0,59,65,76
"BSB",0,0,0,2,3,3,"7/1/2023","7/5/2023","7/4/2023","5:12","7:53","8:18",0,0,2,0,0,2,60,55,62
"CLA",0,0,0,1,1,2,"7/13/2023","7/15/2023","7/14/2023","9:56","9:30","7:04",0,9,9,1,1,0,70,74,54
"CUL",1,1,1,2,1,2,"7/12/2023","7/15/2023","7/13/2023","7:26","7:23","7:13",3,3,0,0,1,2,55,56,59
"ELI",0,0,0,1,3,2,"6/27/2023","7/12/2023","7/5/2023","8:48","8:32","8:27",1,0,0,0,1,0,76,65,46
"ELK",0,0,0,2,2,2,"6/27/2023","7/1/2023","6/28/2023","6:29","9:56","6:23",0,0,0,0,0,0,57,82,57
"ELL",0,0,0,2,2,2,"6/27/2023","6/30/2023","6/28/2023","8:21","6:32","9:19",0,0,0,0,0,1,67,56,75
"GMW",NA,0,NA,NA,NA,1,NA,NA,"7/18/2023",NA,NA,"8:06",NA,NA,0,NA,NA,0,NA,NA,71
"ISA",0,0,0,1,3,1,"6/21/2023","7/4/2023","6/27/2023","7:13","9:58","9:24",0,3,1,0,1,0,61,60,61
"JDD",0,0,0,1,3,2,"6/23/2023","7/6/2023","6/24/2023","8:55","5:47","5:17",0,0,3,1,0,1,58,48,53
"JDO",0,0,NA,1,NA,1,"7/6/2023",NA,"7/17/2023","6:24",NA,"6:15",2,NA,0,1,NA,1,55,NA,62
"JON",0,0,0,2,2,2,"6/27/2023","6/29/2023","6/28/2023","5:05","5:11","4:57",0,0,0,0,0,0,57,57,57
"JUD",0,0,0,1,3,2,"6/23/2023","7/6/2023","6/24/2023","6:48","8:05","8:15",0,0,3,0,0,0,52,58,63
"LMA",0,0,0,2,3,3,"7/1/2023","7/5/2023","7/4/2023","6:51","5:04","5:06",0,0,3,0,0,0,61,46,55
"MAN",0,0,0,2,3,3,"6/29/2023","7/5/2023","7/4/2023","10:03","6:24","6:31",0,0,3,1,0,0,75,46,55
"MCR",0,0,0,2,2,2,"6/27/2023","6/29/2023","6/28/2023","9:45","5:00","8:09",0,0,0,1,0,0,72,54,65
"PRD",0,0,0,1,1,2,"6/20/2023","6/30/2023","6/22/2023","7:00","7:05","8:50",1,1,1,2,0,0,59,60,62
"ROB",1,0,1,2,1,2,"7/12/2023","7/15/2023","7/13/2023","10:17","9:40","8:59",3,9,1,2,1,3,68,67,59
"SIP",0,0,0,2,2,2,"6/29/2023","7/1/2023","6/30/2023","6:13","8:33","7:44",0,0,0,0,1,0,54,70,64
"SNO",0,0,0,1,1,2,"7/13/2023","7/15/2023","7/14/2023","7:33","7:43","9:13",0,9,9,1,2,2,61,62,64
"WBB",1,0,0,2,2,2,"6/20/2023","6/22/2023","6/21/2023","10:27","5:06","5:14",0,0,0,1,1,0,57,42,43
"XSS",0,0,0,1,3,2,"6/27/2023","7/12/2023","7/5/2023","6:40","10:06","9:43",1,0,0,0,1,0,76,65,59
"YWM",0,0,NA,1,NA,1,"7/3/2023",NA,"7/17/2023","9:33",NA,"8:08",0,NA,0,3,NA,1,67,NA,62
