point_id,year,Problem1_from,Problem1_to,Problem2_from,Problem2_to
MISO-089,2023,2023-06-10 1:00:00,2023-06-12 9:00:00,NA,NA
MISO-117,2023,2023-06-03 7:00:00,2023-06-04 1:00:00,NA,NA
MISO-174,2023,2023-07-02 1:00:00,2023-07-03 23:00:00,NA,NA
MISO-177,2023,2023-07-14 1:00:00,2023-07-17 9:00:00,NA,NA
MISO-185,2023,2023-06-08 23:00:00,2023-07-30 23:00:00,NA,NA
MISO-188,2023,2023-07-28 1:00:00,2023-07-30 9:00:00,NA,NA
MISO-191,2023,2023-07-13 1:00:00,2023-07-16 9:00:00,NA,NA
MISO-206,2023,2023-07-26 9:00:00,2023-07-26 23:00:00,NA,NA
YELL-223,2023,2023-06-23 23:00:00,2023-08-16 1:00:00,NA,NA
MISO-202,2023,2023-07-30 23:00:00,2023-08-16 1:00:00,NA,NA
