"site_id","det_survey1","det_survey2","det_survey3","det_survey4","det_survey5","det_survey6"
"101",0,0,0,0,0,0
"102",0,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"203",0,0,0,0,0,0
"82",0,0,0,0,0,0
"83",0,0,0,0,0,0
"84",0,0,0,0,0,0
"97",0,0,0,0,0,0
"AME",0,1,0,0,0,0
"CUL",1,1,1,1,0,0
"ELI",1,0,1,0,0,0
"GMW",0,0,0,0,0,0
"ISA",0,0,0,0,0,0
"JDO",0,0,0,0,0,0
"JUD",0,0,0,0,0,0
"MISO-009",0,0,0,0,0,0
"MISO-010",0,0,0,0,0,0
"MISO-012",0,0,0,0,0,0
"MISO-013",0,0,0,0,0,0
"MISO-015",0,0,0,0,0,0
"MISO-016",0,0,0,0,0,0
"MISO-017",0,0,0,0,0,0
"MISO-022",0,0,NA,NA,NA,NA
"MISO-024",0,0,0,0,0,NA
"MISO-025",0,1,0,0,0,0
"MISO-032",0,NA,NA,NA,NA,NA
"MISO-057",0,0,0,0,0,0
"MISO-062",0,0,0,0,0,0
"MISO-064",0,0,0,0,0,0
"MISO-065",0,0,0,0,0,0
"MISO-066",0,0,0,0,0,0
"MISO-069",0,0,0,0,0,0
"MISO-077",0,0,1,1,0,0
"MISO-082",0,0,0,0,0,0
"MISO-086",0,0,1,1,0,0
"MISO-089",0,NA,NA,NA,NA,NA
"MISO-090",0,0,0,0,0,0
"MISO-094",0,0,0,0,0,0
"MISO-097",0,0,0,0,0,0
"MISO-098",0,0,0,0,0,0
"MISO-099",0,0,0,0,0,0
"MISO-105",0,0,0,0,0,0
"MISO-116",0,0,0,0,0,0
"MISO-117",0,NA,NA,NA,NA,NA
"MISO-119",0,0,0,0,0,0
"MISO-122",0,0,0,0,0,NA
"MISO-123",0,0,0,0,0,0
"MISO-125",0,0,0,0,0,0
"MISO-146",0,0,0,0,0,0
"MISO-149",0,0,0,0,0,0
"MISO-150",0,0,0,0,0,0
"MISO-152",0,0,0,0,0,0
"MISO-153",0,0,0,0,0,0
"MISO-163",0,0,0,0,0,0
"MISO-171",0,0,0,0,0,0
"MISO-174",0,0,0,NA,NA,NA
"MISO-177",0,0,0,0,NA,NA
"MISO-181",0,0,0,0,0,0
"MISO-185",0,NA,NA,NA,NA,NA
"MISO-187",0,0,0,0,0,0
"MISO-188",0,0,0,0,0,NA
"MISO-189",0,0,1,0,0,0
"MISO-191",0,0,0,NA,NA,NA
"MISO-196",0,0,0,0,0,0
"MISO-197",0,0,0,0,0,0
"MISO-202",0,0,1,1,0,NA
"MISO-203",0,0,0,0,0,0
"MISO-204",0,0,0,0,0,0
"MISO-206",0,0,0,0,NA,NA
"MUSH-011",0,0,0,0,0,0
"MUSH-023",0,0,0,0,0,0
"MUSH-060",0,0,NA,NA,NA,NA
"MUSH-071",0,0,0,0,0,0
"MUSH-124",0,0,0,0,0,0
"MUSH-169",0,0,1,0,0,0
"MUSH-171",0,0,0,0,0,0
"MUSH-183",0,0,0,0,0,0
"MUSH-202",0,0,0,0,NA,NA
"MUSH-216",0,0,0,0,0,0
"PRD",1,1,1,0,0,0
"ROB",1,1,1,1,0,0
"SNO",0,0,1,0,0,0
"XSS",0,0,0,0,0,0
"YELL-011",0,0,0,0,0,0
"YELL-019",1,1,0,0,0,0
"YELL-024",0,0,0,0,0,0
"YELL-030",0,0,0,0,0,0
"YELL-032",1,1,1,1,0,0
"YELL-039",1,1,0,0,0,0
"YELL-050",0,0,0,0,0,0
"YELL-055",0,1,1,1,0,0
"YELL-060",0,0,0,0,0,0
"YELL-090",0,0,0,0,0,0
"YELL-100",1,1,1,1,0,0
"YELL-110",0,1,0,0,0,0
"YELL-125",1,1,1,0,0,0
"YELL-131",0,0,0,0,0,0
"YELL-150",0,0,0,0,1,0
"YELL-151",0,0,0,0,0,0
"YELL-182",0,0,0,0,0,0
"YELL-187",0,0,0,0,0,0
"YELL-211",0,0,0,0,0,0
"YELL-217",0,0,0,0,0,0
"YELL-223",0,0,NA,NA,NA,NA
"YWM",0,0,0,0,0,0
