"","2023-06-01_2023-06-14","2023-06-15_2023-06-28","2023-06-29_2023-07-12","2023-07-13_2023-07-26","2023-07-27_2023-08-09","2023-08-10_2023-08-15"
"101__SESS_2023",0,0,0,0,0,0
"102__SESS_2023",0,0,0,0,0,0
"103__SESS_2023",0,0,0,0,0,0
"104__SESS_2023",0,0,0,0,0,0
"105__SESS_2023",0,0,0,0,0,0
"203__SESS_2023",0,0,0,0,0,0
"82__SESS_2023",0,0,0,0,0,0
"83__SESS_2023",0,0,0,0,0,0
"84__SESS_2023",0,0,0,0,0,0
"97__SESS_2023",0,0,0,0,0,0
"AME__SESS_2023",0,1,0,0,0,0
"CUL__SESS_2023",1,1,1,1,0,0
"ELI__SESS_2023",1,0,1,0,0,0
"GMW__SESS_2023",0,0,0,0,0,0
"ISA__SESS_2023",0,0,0,0,0,0
"JDO__SESS_2023",0,0,0,0,0,0
"JUD__SESS_2023",0,0,0,0,0,0
"MISO-009__SESS_2023",0,0,0,0,0,0
"MISO-010__SESS_2023",0,0,0,0,0,0
"MISO-012__SESS_2023",0,0,0,0,0,0
"MISO-013__SESS_2023",0,0,0,0,0,0
"MISO-015__SESS_2023",0,0,0,0,0,0
"MISO-016__SESS_2023",0,0,0,0,0,0
"MISO-017__SESS_2023",0,0,0,0,0,0
"MISO-022__SESS_2023",0,0,NA,NA,NA,NA
"MISO-024__SESS_2023",0,0,0,0,0,NA
"MISO-025__SESS_2023",0,1,0,0,0,0
"MISO-032__SESS_2023",0,NA,NA,NA,NA,NA
"MISO-057__SESS_2023",0,0,0,0,0,0
"MISO-062__SESS_2023",0,0,0,0,0,0
"MISO-064__SESS_2023",0,0,0,0,0,0
"MISO-065__SESS_2023",0,0,0,0,0,0
"MISO-066__SESS_2023",0,0,0,0,0,0
"MISO-069__SESS_2023",0,0,0,0,0,0
"MISO-077__SESS_2023",0,0,1,1,0,0
"MISO-082__SESS_2023",0,0,0,0,0,0
"MISO-086__SESS_2023",0,0,1,1,0,0
"MISO-089__SESS_2023",0,NA,NA,NA,NA,NA
"MISO-090__SESS_2023",0,0,0,0,0,0
"MISO-094__SESS_2023",0,0,0,0,0,0
"MISO-097__SESS_2023",0,0,0,0,0,0
"MISO-098__SESS_2023",0,0,0,0,0,0
"MISO-099__SESS_2023",0,0,0,0,0,0
"MISO-105__SESS_2023",0,0,0,0,0,0
"MISO-116__SESS_2023",0,0,0,0,0,0
"MISO-117__SESS_2023",0,NA,NA,NA,NA,NA
"MISO-119__SESS_2023",0,0,0,0,0,0
"MISO-122__SESS_2023",0,0,0,0,0,NA
"MISO-123__SESS_2023",0,0,0,0,0,0
"MISO-125__SESS_2023",0,0,0,0,0,0
"MISO-146__SESS_2023",0,0,0,0,0,0
"MISO-149__SESS_2023",0,0,0,0,0,0
"MISO-150__SESS_2023",0,0,0,0,0,0
"MISO-152__SESS_2023",0,0,0,0,0,0
"MISO-153__SESS_2023",0,0,0,0,0,0
"MISO-163__SESS_2023",0,0,0,0,0,0
"MISO-171__SESS_2023",0,0,0,0,0,0
"MISO-174__SESS_2023",0,0,0,NA,NA,NA
"MISO-177__SESS_2023",0,0,0,0,NA,NA
"MISO-181__SESS_2023",0,0,0,0,0,0
"MISO-185__SESS_2023",0,NA,NA,NA,NA,NA
"MISO-187__SESS_2023",0,0,0,0,0,0
"MISO-188__SESS_2023",0,0,0,0,0,NA
"MISO-189__SESS_2023",0,0,1,0,0,0
"MISO-191__SESS_2023",0,0,0,NA,NA,NA
"MISO-196__SESS_2023",0,0,0,0,0,0
"MISO-197__SESS_2023",0,0,0,0,0,0
"MISO-202__SESS_2023",0,0,1,1,0,NA
"MISO-203__SESS_2023",0,0,0,0,0,0
"MISO-204__SESS_2023",0,0,0,0,0,0
"MISO-206__SESS_2023",0,0,0,0,NA,NA
"MUSH-011__SESS_2023",0,0,0,0,0,0
"MUSH-023__SESS_2023",0,0,0,0,0,0
"MUSH-060__SESS_2023",0,0,NA,NA,NA,NA
"MUSH-071__SESS_2023",0,0,0,0,0,0
"MUSH-124__SESS_2023",0,0,0,0,0,0
"MUSH-169__SESS_2023",0,0,1,0,0,0
"MUSH-171__SESS_2023",0,0,0,0,0,0
"MUSH-183__SESS_2023",0,0,0,0,0,0
"MUSH-202__SESS_2023",0,0,0,0,NA,NA
"MUSH-216__SESS_2023",0,0,0,0,0,0
"PRD__SESS_2023",1,1,1,0,0,0
"ROB__SESS_2023",1,1,1,1,0,0
"SNO__SESS_2023",0,0,1,0,0,0
"XSS__SESS_2023",0,0,0,0,0,0
"YELL-011__SESS_2023",0,0,0,0,0,0
"YELL-019__SESS_2023",1,1,0,0,0,0
"YELL-024__SESS_2023",0,0,0,0,0,0
"YELL-030__SESS_2023",0,0,0,0,0,0
"YELL-032__SESS_2023",1,1,1,1,0,0
"YELL-039__SESS_2023",1,1,0,0,0,0
"YELL-050__SESS_2023",0,0,0,0,0,0
"YELL-055__SESS_2023",0,1,1,1,0,0
"YELL-060__SESS_2023",0,0,0,0,0,0
"YELL-090__SESS_2023",0,0,0,0,0,0
"YELL-100__SESS_2023",1,1,1,1,0,0
