"","2023-06-01_2023-06-14","2023-06-15_2023-06-28","2023-06-29_2023-07-12","2023-07-13_2023-07-26","2023-07-27_2023-08-09","2023-08-10_2023-08-15"
"101__SESS_2023",42,42,42,42,42,18
"102__SESS_2023",28,28,37.25,42,42,18
"103__SESS_2023",42,42,42,42,42,18
"104__SESS_2023",42,42,42,42,42,17.25
"105__SESS_2023",42,42,42,42,42,18
"203__SESS_2023",39.75,42,42,42,42,18
"82__SESS_2023",42,42,42,42,42,18
"83__SESS_2023",42,42,42,42,42,18
"84__SESS_2023",42,29.5,28,28,28,12
"97__SESS_2023",32.75,28,28,28,28,12
"AME__SESS_2023",42,42,42,42,42,12.75
"CUL__SESS_2023",42,42,42,42,42,18
"ELI__SESS_2023",42,42,42,42,41.75,9.5
"GMW__SESS_2023",42,42,42,42,42,18
"ISA__SESS_2023",42,42,42,39.5,28,12
"JDO__SESS_2023",42,42,42,42,38.75,12
"JUD__SESS_2023",26.5,28,34.5,42,32.25,12
"MISO-009__SESS_2023",14,14,14,14,14,6
"MISO-010__SESS_2023",14,14,14,14,14,6
"MISO-012__SESS_2023",14,14,14,14,14,6
"MISO-013__SESS_2023",14,14,14,14,14,6
"MISO-015__SESS_2023",14,14,14,14,14,6
"MISO-016__SESS_2023",14,14,14,14,14,6
"MISO-017__SESS_2023",14,14,14,14,14,6
"MISO-022__SESS_2023",14,4.5,NA,NA,NA,NA
"MISO-024__SESS_2023",14,14,14,14,3.75,NA
"MISO-025__SESS_2023",14,14,14,14,14,6
"MISO-032__SESS_2023",13.5,NA,NA,NA,NA,NA
"MISO-057__SESS_2023",14,14,14,14,14,5.5
"MISO-062__SESS_2023",13.25,14,14,14,14,6
"MISO-064__SESS_2023",14,14,14,14,14,6
"MISO-065__SESS_2023",14,14,14,14,14,6
"MISO-066__SESS_2023",13.25,14,14,14,14,6
"MISO-069__SESS_2023",14,14,14,14,14,6
"MISO-077__SESS_2023",14,14,14,14,14,6
"MISO-082__SESS_2023",13.25,14,14,14,14,6
"MISO-086__SESS_2023",14,14,14,14,14,6
"MISO-089__SESS_2023",9,NA,NA,NA,NA,NA
"MISO-090__SESS_2023",14,14,14,14,14,5.5
"MISO-094__SESS_2023",14,14,14,14,14,6
"MISO-097__SESS_2023",14,14,14,14,14,5.5
"MISO-098__SESS_2023",14,14,14,14,14,6
"MISO-099__SESS_2023",14,14,14,14,14,6
"MISO-105__SESS_2023",14,14,14,14,14,6
"MISO-116__SESS_2023",14,14,14,14,14,6
"MISO-117__SESS_2023",2.25,NA,NA,NA,NA,NA
"MISO-119__SESS_2023",14,14,14,14,14,5.25
"MISO-122__SESS_2023",14,14,14,14,12.5,NA
"MISO-123__SESS_2023",14,14,14,14,14,5.5
"MISO-125__SESS_2023",14,14,14,14,14,5.5
"MISO-146__SESS_2023",14,14,14,14,14,6
"MISO-149__SESS_2023",14,14,14,14,14,6
"MISO-150__SESS_2023",14,14,14,14,14,6
"MISO-152__SESS_2023",14,14,14,14,14,5.25
"MISO-153__SESS_2023",14,14,14,14,14,6
"MISO-163__SESS_2023",14,14,14,14,14,6
"MISO-171__SESS_2023",14,14,14,14,14,6
"MISO-174__SESS_2023",14,14,3,NA,NA,NA
"MISO-177__SESS_2023",14,14,14,1,NA,NA
"MISO-181__SESS_2023",14,14,14,14,14,6
"MISO-185__SESS_2023",7.75,NA,NA,NA,NA,NA
"MISO-187__SESS_2023",14,14,14,14,14,5.5
"MISO-188__SESS_2023",14,14,14,14,1,NA
"MISO-189__SESS_2023",14,14,14,14,14,6
"MISO-191__SESS_2023",14,14,14,NA,NA,NA
"MISO-196__SESS_2023",14,14,14,14,14,6
"MISO-197__SESS_2023",14,14,14,14,14,6
"MISO-202__SESS_2023",14,14,14,14,3.75,NA
"MISO-203__SESS_2023",14,14,14,14,14,6
"MISO-204__SESS_2023",14,14,14,14,14,6
